Tracker Distance,Very Active Distance,Moderately Active Distance,Light Active Distance,Very Active Minutes,Fairly Active Minutes,Lightly Active Minutes,Sedentary Minutes,Steps,Burned Calories 
8.020000458,2.029999971,0.479999989,5.519999981,26,10,349,587,10449,2536
5.820000172,2.279999971,0.899999976,2.640000105,30,16,135,1259,8001,2902
0.109999999,0,0,0.109999999,0,0,12,1303,152,2100
7.210000038,0,0.340000004,6.869999886,0,7,352,1077,9543,2450
7.860000134,0.340000004,0.730000019,6.789999962,6,19,258,1020,10218,3013
0.5,0.059999999,0.200000003,0.239999995,2,13,15,1410,703,1993
5.5,0.529999971,0.589999974,1.309999943,8,15,96,1234,8204,2135
4.980000019,0.059999999,0.25,4.659999847,1,6,363,1070,7412,1906
1.99000001,0,0,1.99000001,0,0,194,840,2961,2095
5.829999924,0,0,5.820000172,0,0,251,1189,7706,2712
9.199999809,3.690000057,2.099999905,3.410000086,43,52,194,687,13238,1650
8.899999619,2.920000076,1.080000043,4.880000114,45,24,250,857,14070,1959
1.159999967,0,0,1.159999967,0,0,95,1167,1675,2351
2.269999981,0,0,2.269999981,0,0,190,1121,3428,1692
8.180000305,6.239999771,0.230000004,1.700000048,45,5,104,1286,10232,2008
8.350000381,2.50999999,0.239999995,5.590000153,38,8,288,621,12627,2182
0,0,0,0,0,0,0,1440,0,0
2.680000067,0,0,2.680000067,0,0,133,673,3365,1838
5.440000057,1.610000014,1,2.829999924,23,16,233,1116,8237,1973
10,3.269999981,4.559999943,2.170000076,30,95,129,660,14112,1655
7.099999905,2.099999905,2.130000114,2.869999886,35,41,195,659,10742,2046
7.289999962,2.609999895,0.340000004,4.329999924,36,8,277,1119,10379,2473
3.230000019,0,0,3.230000019,0,0,151,1289,4974,1446
7.010000229,1.00999999,0.5,5.510000229,14,8,370,1048,10611,2262
6.829999924,2,0.620000005,4.199999809,28,13,320,964,10113,2344
3.220000029,0,0,3.150000095,0,0,174,950,4496,2828
7.119999886,0.819999993,0.270000011,6.010000229,11,6,369,1054,9787,3328
2.599999905,0,0,2.599999905,0,0,229,665,4193,1491
1.769999981,0,0,1.75999999,0,0,125,1315,2436,2430
4.210000038,0,0,4.210000038,0,0,249,1191,6001,2069
8.069999695,0,4.21999979,3.849999905,0,92,252,724,12058,1638
7.090000153,3.150000095,0.550000012,3.390000105,41,11,151,1237,10100,2177
0,0,0,0,33,0,0,1407,0,2664
1.389999986,0,0,1.389999986,0,0,137,841,2072,1974
0.039999999,0,0,0.039999999,0,0,2,1438,62,1995
3.539999962,0,0,3.539999962,0,0,158,851,4468,2799
8.409999847,0,0,8.409999847,0,0,480,425,11135,2606
0,0,0,0,0,0,0,1440,0,1496
7.210000038,0.800000012,1.720000029,4.690000057,11,41,223,1165,9919,3123
3.029999971,0,0,3.029999971,0,0,229,809,4514,2211
5.639999866,2.5,0.469999999,2.670000076,45,21,143,1153,7550,3004
4.110000134,0,1.039999962,3.069999933,0,27,167,1246,5273,2647
4.440000057,0,0,4.440000057,0,7,382,648,6711,2346
10.18000031,4.5,0.319999993,5.349999905,58,5,215,749,13236,3306
6.650000095,2.559999943,0.75,3.349999905,104,37,194,639,8869,3841
0,0,0,0,0,0,1,1439,4,1348
4.269999981,0.330000013,0.819999993,3.109999895,5,18,216,1201,6466,1931
2.230000019,0,0,2.230000019,0,0,68,241,2752,1240
4.559999943,0.140000001,1.190000057,3.230000019,2,22,166,1250,5843,2683
5.409999847,0.129999995,1.129999995,4.150000095,2,25,223,1190,8093,2284
2.160000086,0,0,2.150000095,0,0,125,566,3520,2049
0,0,0,0,0,0,0,1440,0,1496
4.75,0,0,4.730000019,0,0,264,800,6277,2175
5.210000038,0,0,5.190000057,0,0,271,1169,6885,2766
